Name	Notes	FullAddress	City	Province	PostalCode
Garage municipal de Tadoussac		696 rte 138	Tadoussac	Quebec	G0T 2A0
Garage municipal de Sacré-C?ur		rte 172	Sacré-Coeur	Quebec	G0T 1Y0
Récupéraction Centre du Québec		5620 rue Saint-Roch	Drummondville	Quebec	J2B 6V4
Garage municipal de Terrebonne	Citoyens de Terrebonne seulement. Sur rendez-vous seulement.	1051 rue Nationale	Terrebonne	Quebec	J6W 6B5
Écocentre régional du Val-Saint-François		666 ch. Keenan	Saint-François-Xavier-de-Brompton	Quebec	J0B 2V0
Écocentre Marguerite-D'Youville- secteur nord		4111 rte Marie-Victorin	Contrecoeur	Quebec	J0L 1C0
Écocentre Marguerite-D'Youville- secteur sud		1975 ch. de l'énergie	Varennes	Quebec	J3X 1P7
Écocentre St-Flavien		1450 rang Pointe-du-Jour	Saint-Flavien	Quebec	G0S 2M0
Écocentre Isle-aux-Coudres		51 ch. de la Traverse	L'Isle-aux-Coudres	Quebec	G0A 3J0
Écocentre Saint-Sauveur		2135 ch. Jean-Adam (rte 364)	Saint-Sauveur	Quebec	J0R 1R2
Écocentre Baie-St-Paul		74 rang Saint-Placide Sud	Baie-Saint-Paul	Quebec	G3Z 3A9
Écocentre St-Urbain		7 rue du Parc Industriel	Saint-Urbain	Quebec	G0A 4K0
Compo-Haut-Richelieu; Lacolle		8 rue du Parc-Industriel	Lacolle	Quebec	J0J 1J0
Compo-Haut-Richelieu; Iberville (Citoyen)		825 rue Lucien-Beaudin	Saint-Jean-sur-Richelieu	Quebec	J2X 5L2
Compo-Haut-Richelieu; St-Luc		950 rue Gaudette	Saint-Jean-sur-Richelieu	Quebec	J2W 3G1
Écocentre Sainte-Sophie	Saisonnier	2535  1re rue	Sainte-Sophie	Quebec	J5J 2R7
Écocentre Prévost	Saisonnier	1144 rue Doucet	Prévost	Quebec	J5L 2S2
Écocentre Saint-Colomban	Saisonnier	355 montée de l'Église	Saint-Colomban	Quebec	J5K 2J1
Écocentre Saint-Hippolyte	Saisonnier	2056 ch. des hauteurs	Saint-Hippolyte	Quebec	J8A 1A1
Écocentre Saint-Jérôme	Saisonnier	301 rue Lajeunesse Ouest	Saint-Jérôme	Quebec	J7Y 3P2
Écocentre Secteur de Sainte-Scholastique	Résidents seulement	9825 rue Saint-Vincent	Mirabel	Quebec	J7N 2Y5
Régie intermunicipale du comté de Beauce-Sud		695 rang Saint-Joseph	Saint-Côme-Linière	Quebec	G0M 1J0
Écocentre de Beauceville (Matrec)		184 181e rue	Beauceville	Quebec	G5X 2S8
Écocentre de Shawinigan	ICI sur rendez-vous seulement	2132 av. de la Transmission	Shawinigan	Quebec	G9N 8N8
Garage municipal de Saint-Jean-Port-Joli	Ouvert avril à novembre	389 rte de l'Église	Saint-Jean-Port-Joli	Quebec	GOR 3G0
Écocentre Val-Bélair		1472 rue Jean-Bardot	Québec	Quebec	G3J 1R3
Écocentre Hûtrière		3381 rue de l'Hûtrière	Québec	Quebec	G3A 0M2
Écocentre Beauport		425 boul. Raymond	Québec	Quebec	G1C 5B4
Garage municipal de Les Bergeronnes		424 rue de la Mer	Les Bergeronnes	Quebec	G0T 1G0
Garage municipal de Les Escoumins		2 rue Sirois	Les Escoumins	Quebec	G0T 1K0
Bureau municipal Longue-Rive		3 rue de l?Église	Longue-Rive	Quebec	G0T 1Z0
Garage municipal de Portneuf-sur-Mer		170 rue Principale	Portneuf-sur-Mer	Quebec	G0T 1P0
Écocentre Secteur de Saint-Augustin	Résidents seulement	15020 rue Louis-M.-Taillon	Mirabel	Quebec	J7N 2K4
Écocentre Secteur de Saint-Canut	Résidents seulement	6000 rte Sir-Wilfrid-Laurier	Mirabel	Quebec	J7N 2Z8
Écocentre Secteur de Saint-Janvier	Résidents seulement	14645 rue Joseph-Marc-Vermette	Mirabel	Quebec	J7J 1X2
Écocentre La Mitis		428 ch. Perreault Est	Sainte-Flavie	Quebec	G0J 2L0
Écocentre Ville de Beaupré		10 rue Industrielle	Beaupré	Quebec	G0A 1E0
Écocentre Saint-Édouard-de-Fabre		641 rte 391	Saint-Édouard-de-Fabre	Quebec	J0Z 1Z0
Écocentre Waterloo		6550 rue Foster	Waterloo	Quebec	J0E 2N0
Écocentre Havre-Saint-Pierre		895 rue Ilménite	Havre-Saint-Pierre	Quebec	G0G 1P0
Écocentre de Natashquan		300 rte 138	Natashquan	Quebec	G0G 2E0
Écocentre Alma		3521 av.du Pont Nord	Alma	Quebec	G8B 1S5
Écocentre Hébertville		100rue Jean-Félix Langlais	Hébertville	Quebec	G0W 1T0
Écocentre Saint-Ludger-de-Milot		ch. de l?Écocentre	Saint-Ludger-de-Milot	Quebec	G0W 2B0
Écocentre Saint-Félicien		1800 rue Verreault	Saint-Félicien	Quebec	G8K 1W2
Écocentre Saint-François-de-Sales		93 rue Bouchard	Saint-François-de-Sales	Quebec	G0W 2B0
Écocentre Dolbeau-Mistassini		1001 2e Avenue	Dolbeau-Mistassini	Quebec	G8L 1V3
Écocentre Normandin		1177 rue Lydoric Doucet	Normandin	Quebec	G8M 3Y2
Centre de services d'Aylmer		115 rue Principale	Gatineau	Quebec	J9H 3M2
Écocentre Carrière		860 boul. de la Carrière	Gatineau	Quebec	J8Y 6S6
Écocentre Louiseville		760 av. Deveault	Louiseville	Quebec	J5V 3C2
Écocentre de Champlain		295 rte Sainte-Marie	Champlain	Quebec	G0X 1C0
Écocentre Saint-Étienne-des-Grés		440 boul. la Gabelle	Saint-Étienne-des-Grès	Quebec	G0X 2P0
Écocentre Granby		1080 rue André-Liné	Granby	Quebec	J2J 1J9
Écocentre Saint-Patrice-de-Beaurivage		rue du Parc	Saint-Patrice-de-Beaurivage	Quebec	G0S 1B0
Hôtel de ville de Saint-Pamphile		3 rue Elgin Sud	Saint-Pamphile	Quebec	G0R 3X0
Garage municipal de L'Islet		451 rue Nilus-Leclerc	L'Islet	Quebec	G0R 1X0
Écocentre de Matane		330 rue Yves-Bérubé	Matane	Quebec	G4W 3M6
Écocentre Saint-Raymond		590 ch. Bourg-Louis	Saint-Raymond	Quebec	G3L 4G2
Écocentre St-Alban		180 rte 354	Saint-Alban	Quebec	G0A 3B0
Garage municipal de St-Césaire		110 rte 112	Saint-Césaire	Quebec	J0L 1P0
Garage municipal de St-Mathias		25 rue du Centre Sportif	Saint-Mathias-sur-Richelieu	Quebec	J3L 6C6
Ressourcerie Bellechasse		491 rte 277	Saint-Léon-de-Standon	Quebec	G0R 4L0
Ressourcerie du Granit		2969 rue Laval	Nantes	Quebec	G6B 1A2
Ressourcerie des Frontières		177 de la rue Cutting	Coaticook	Quebec	J1A 2G2
Bureau municipal Saint-Albert		1245 rue Principale	Saint-Albert	Quebec	J0A 1E0
Écocentre régional de la Nouvelle-Beauce; Sainte-Marie		1690 boul. Vachon Nord	Sainte-Marie	Quebec	G6E 3E9
Écocentre régional de la Nouvelle-Beauce; Frampton		10 rte Boulet	Frampton	Quebec	G0R 1M0
Écocentre de Saint-Pascal		236 av. du Parc	Saint-Pascal	Quebec	G0L 3Y0
Écocentre des îles-de-la-Madeleine		1300 rte 199	Les îles-de-la-Madeleine	Quebec	G4T 5B5
Écocentre Secteur Témiscouata-sur-le-Lac- quartier Cabano		53 rue 232 Est	Témiscouata-sur-le-Lac	Quebec	G0L 1E0
Écocentre Longue-Pointe-de-Mingan		800 ch. du Roi	Longue-Pointe-de-Mingan	Quebec	G0G 1V0
Écocentre du Secteur Squatec		90 rue 295 Nord	Saint-Michel-du-Squatec	Quebec	G5T 1V7
Écocentre Secteur Pohénégamook		480 rue du Parc industriel	Pohénégamook	Quebec	G0L 1J0
Écocentre Secteur Dégelis		297 rte 295	Dégelis	Quebec	G5T 1V7
Écocentre Saint-Ignace-de-Loyola		25 rue Laforest	Saint-Ignace-de-Loyola	Quebec	J0K 2P0
Garage municipal Sainte-Geneviève-de-Berthier		400 rang de la Rivière Bayonne Sud	Sainte-Geneviève-de-Berthier	Quebec	J0K 1A0
