	Name	Notes	FullAddress	City	Province	PostalCode	lat	long
58	Récupération des Basques		2 rte à C?ur	Trois-Pistoles	Quebec	G0L 4K0	 None	 None
59	Bureau en Gros; Rouyn-Noranda	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	100 rue du Terminus Ouest	Rouyn-Noranda	Quebec	J9X 6H7	 None	 None
60	Bureau en Gros; Sept-îles	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	649 boul. Laure	Sept-îles	Quebec	G4R 1X8	 None	 None
61	Bureau en Gros; Lachenaie	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	590 montée des Pionniers	Terrebonne	Quebec	J6V 1N9	 None	 None
62	Bureau en Gros; Mascouche	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	145 montée Masson	Mascouche	Quebec	J7K 3B4	 None	 None
63	Bureau en Gros; Ste-Agathe-des-Monts	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1190 rue Principale	Sainte-Agathe-des-Monts	Quebec	J8C 1L8	 None	 None
64	Bureau en Gros; Joliette	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	845 boul. Firestone	Joliette	Quebec	J6E 2W4	 None	 None
65	Bureau en Gros; 19oe40	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4440 boul. Robert-Bourassa	Laval	Quebec	H7E 0B8	 None	 None
66	Bureau en Gros; Boisbriand	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3420 av. des Grandes-Tourelles	Boisbriand	Quebec	J7H 0A2	45.6111005	-73.6875618
67	Bureau en Gros; St-Eustache	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	660 boul. Arthur Sauvé	Saint-Eustache	Quebec	J7R 1E3	45.6301554	-73.8465907
68	Bureau en Gros; Saint-Jérôme	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1135 rue Jean-Baptiste-Rolland Ouest	Saint-Jérôme	Quebec	J7Y 4Y7	45.5772613	-73.9205762
69	Bureau en Gros; Rosemère	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	315 boul. Curé-Labelle	Rosemère	Quebec	J7A 2H7	45.7690464	-74.0185846
70	Bureau en Gros; Ste-Dorothée	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1000 aut. Chomedey	Laval	Quebec	H7X 3S9	45.6294182	-73.8129465
71	Bureau en Gros; Centre Laval	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1600 boul. Le Corbusier	Laval	Quebec	H7S 1Y9	45.5299074	-73.7846283
72	Bureau en Gros; Neufchatel	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4605 boul. de L'Auvergne #102	Québec	Quebec	G2C 1H7	45.5617576	-73.732182
73	Bureau en Gros; Sainte-Foy 2	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1510 av. Jules-Verne	Québec	Quebec	G2G 2R5	46.8237914	-71.3576114
74	Bureau en Gros; Charest	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1400 rue Cyrille-Duquet	Québec	Quebec	G1N 2E5	46.781015	-71.3466871
75	Bureau en Gros; Lévis	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	80 rte du Président-Kennedy	Lévis	Quebec	G6V 6C9	46.7990663	-71.2617012
76	Bureau en Gros; Sainte-Foy	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	2975 boul. Laurier	Québec	Quebec	G1V 2M2	46.791237	-71.1731212
77	Bureau en Gros; Québec City	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	565 boul. Lebourgneuf	Québec	Quebec	G2J 1R9	46.764855	-71.2917163
78	Bureau municipal Forestville		1 2e Avenue	Forestville	Quebec	G0T 1E0	46.8441177	-71.2771279
79	Bureau municipal Colombier		568 rue Principale	Colombier	Quebec	G0H 1P0	48.7385495	-69.0767629
80	Écocentre Acadie	ICI: Quantité limité à 1 mètre cube par jour	1200 boul. Henri-Bourassa Ouest	Montréal	Quebec	H3M 3G1	48.8726596	-68.8465151
81	Écocentre Côte-des-Neiges	ICI: Quantité limité à 1 mètre cube par jour	6925 ch. de la Côte-des-Neiges	Montréal	Quebec	H3S 2B6	45.5398039	-73.676426
82	Écocentre Rivière-des-Prairies	ICI: Quantité limité à 1 mètre cube par jour	11400 rue Léopold-Christin	Montréal	Quebec	H1E 7R3	45.505244	-73.638851
83	Écocentre St-Michel	ICI: Quantité limité à 1 mètre cube par jour	2475 rue des Regrattiers (anciennement rue Michel-Jurdant	Montréal	Quebec	H1Z 4N1	45.6398354	-73.560849
84	Écocentre de Lévis	Seuls les produits électroniques des citoyens de Lévis sont acceptés dans cet écocentre.	3443 rue de Vulcain	Lévis	Quebec	G6W 0K8	45.557963	-73.6211189
85	Écocentre du secteur Chicoutimi (Sud)		3333 boul. Talbot	Saguenay	Quebec	G7H 5B1	46.7510829	-71.1773213
86	Écocentre de Jonquière		2330 rue de la Métallurgie	Saguenay	Quebec	G7X 0B7	48.3459758	-71.1075889
87	Écocentre de La Baie		223 rue Joseph-Gagné Sud La Baie	Saguenay	Quebec	G7B 3P6	48.4084564	-71.2298518
88	Garage municipal de Tadoussac		696 rte 138	Tadoussac	Quebec	G0T 2A0	48.3292884	-70.8981549
89	Garage municipal de Sacré-C?ur		rte 172	Sacré-Coeur	Quebec	G0T 1Y0	48.1214121	-69.7178392
90	Récupéraction Centre du Québec		5620 rue Saint-Roch	Drummondville	Quebec	J2B 6V4	48.2453158	-69.8238589
91	Garage municipal de Terrebonne	Citoyens de Terrebonne seulement. Sur rendez-vous seulement.	1051 rue Nationale	Terrebonne	Quebec	J6W 6B5	 None	 None
92	Écocentre régional du Val-Saint-François		666 ch. Keenan	Saint-François-Xavier-de-Brompton	Quebec	J0B 2V0	45.7097847	-73.6217028
93	Écocentre Marguerite-D'Youville- secteur nord		4111 rte Marie-Victorin	Contrecoeur	Quebec	J0L 1C0	45.6058165	-72.0872624
94	Écocentre Marguerite-D'Youville- secteur sud		1975 ch. de l'énergie	Varennes	Quebec	J3X 1P7	45.8454724	-73.2521484
